,pop,hip hop,r&b,All
2003,0.08898166615081375,0.0835060359466473,0.07958858350041335,0.0978700643573503
2004,0.09608508560591389,0.08494898321400568,0.07757142134817263,0.08372545873009582
2005,0.06368701390913072,0.0830278627037346,0.07896215363198833,0.06839002178154892
2006,0.07902023657195294,0.10698183612516303,0.08776627990560668,0.071945354650977
2007,0.10285804438873572,0.0957033628551965,0.12357482608982587,0.10256120781796024
2008,0.11069748988206052,0.11491317117151871,0.10846885202012518,0.12008895549524416
2009,0.09435657655514383,0.1125337235672047,0.15495774274462276,0.09400258529596217
2010,0.12318576059039527,0.10861923326389489,0.11906792281036611,0.1235757870975172
2011,0.09776080448272984,0.07456775956372427,0.09042152702444949,0.10252726639084597
2012,0.08786385799977456,0.06624491147879737,0.11162549324577595,0.08890247510898268
2013,0.13378127524906205,0.1031173664815634,0.11301880737733125,0.11226760105843056
2014,0.0747598755018525,0.06466875516156217,0.09482869761504897,0.07290628242267749
2015,0.07175208417046844,0.0731963063825474,0.07253136532298474,0.07133018119916958
2016,0.059494211820945796,0.06096930778956878,0.05757376472061718,0.06368957498970583
2017,0.1032973743715837,0.04498452251996091,0.10905590124578453,0.07529402426536587
2018,0.03793348043459068,-0.011508293095584899,0.033535502270606386,0.03159966302791228
2019,0.03259353982646828,0.023103490733171635,0.05274883206121193,0.03840730923808992
2020,0.09154587985328652,0.047679378123017244,0.06335535467600366,0.07674417197239926
2021,0.10130313416736422,0.0604495965663895,0.08845442216696289,0.0837598667997537
2022,0.07819451830218468,0.09459286339035387,0.06599298665937657,0.06989238825699723
